gene_symbol	gene_dpi	gene_pli	protein_class	diseaseid	disease_semantic_type	score	ei	el	year_initial	year_final
KCNE5	0.5	0.11854		C3164445	Anatomical Abnormality	0.1				
GLA	0.769	0.99675		C3164445	Anatomical Abnormality	0.1				
GP1BB	0.769	0.51249		C3164445	Anatomical Abnormality	0.1				
UBE2T	0.731	1.0599e-05		C3164445	Anatomical Abnormality	0.1				
HLA-B	0.885	3.8642e-05		C3164445	Anatomical Abnormality	0.1				
IL12B	0.885	0.00011439	DTO_05007599	C3164445	Anatomical Abnormality	0.1				
ARVCF	0.769	5.0422e-11	DTO_05007530	C3164445	Anatomical Abnormality	0.1				
MYH3	0.654	6.7197e-21		C3164445	Anatomical Abnormality	0.1				
TMEM70	0.654	0.029285		C3164445	Anatomical Abnormality	0.1				
FANCL	0.731	5.9404e-23	DTO_05007624	C3164445	Anatomical Abnormality	0.1				
RFWD3	0.731	3.5331e-10	DTO_05007624	C3164445	Anatomical Abnormality	0.1				
FANCI	0.731	8.9116e-37		C3164445	Anatomical Abnormality	0.1				
CHD7	0.846	1.0		C3164445	Anatomical Abnormality	0.1				
MAP2K2	0.731	0.96673	DTO_03300101	C3164445	Anatomical Abnormality	0.1				
FANCM	0.731	2.3536e-15	DTO_05007624	C3164445	Anatomical Abnormality	0.1				
RAD51	0.846	0.026578		C3164445	Anatomical Abnormality	0.1				
RAD51C	0.692	6.1906e-14		C3164445	Anatomical Abnormality	0.1				
RIT1	0.808	0.13281	DTO_05007584	C3164445	Anatomical Abnormality	0.1				
RPS6KA3	0.846	0.99999	DTO_03300101	C3164445	Anatomical Abnormality	0.1				
RREB1	0.808	1.0		C3164445	Anatomical Abnormality	0.1				
SKI	0.808	0.99901		C3164445	Anatomical Abnormality	0.1				
SOS1	0.808	1.0	DTO_05007584	C3164445	Anatomical Abnormality	0.1				
BRCA1	0.923	9.2157e-29	DTO_05007624	C3164445	Anatomical Abnormality	0.1				
BRAF	0.846	0.99995	DTO_03300101	C3164445	Anatomical Abnormality	0.1				
BRCA2	0.846	2.3581e-25	DTO_05007557	C3164445	Anatomical Abnormality	0.1				
TBX1	0.808	0.83661	DTO_05007542	C3164445	Anatomical Abnormality	0.1				
MLX	0.346	0.11032		C3164445	Anatomical Abnormality	0.1				
HIRA	0.808	1.0	DTO_05007557	C3164445	Anatomical Abnormality	0.1				
UFD1	0.769	0.99638		C3164445	Anatomical Abnormality	0.1				
XRCC2	0.731	3.955e-07		C3164445	Anatomical Abnormality	0.1				
PALB2	0.769	3.0379e-19		C3164445	Anatomical Abnormality	0.1				
BRIP1	0.731	6.206e-17	DTO_05007624	C3164445	Anatomical Abnormality	0.1				
SLX4	0.731	1.5676e-22		C3164445	Anatomical Abnormality	0.1				
SEC24C	0.808	1.0	DTO_05007405	C3164445	Anatomical Abnormality	0.1				
SEMA3E	0.769	8.7148e-09	DTO_05007599	C3164445	Anatomical Abnormality	0.1				
AMMECR1	0.692	0.82117		C3164445	Anatomical Abnormality	0.1				
CCDC40	0.538	3.8155e-17		C4703575	Congenital Abnormality	0.01	1.0		2017	2017
NPPC	0.769	0.060647	DTO_05007599	C0003507	Disease or Syndrome	0.22	1.0		2007	2019
TNF	0.962	0.8033	DTO_05007599	C0003507	Disease or Syndrome	0.22	1.0		2005	2018
ENO3	0.308	1.5718e-19	DTO_05007624	C0003507	Disease or Syndrome	0.2	1.0		1995	1995
VWF	0.885	3.2187e-25	DTO_05007584	C0003507	Disease or Syndrome	0.2	1.0		2016	2020
EBP	0.846	0.93645	DTO_05007624	C0003507	Disease or Syndrome	0.11	1.0		2017	2017
GATA5	0.615	0.28478		C0003507	Disease or Syndrome	0.11	1.0		2011	2011
GATA4	0.846	0.49308		C0003507	Disease or Syndrome	0.11	1.0		2011	2011
NOTCH1	0.885	1.0		C0003507	Disease or Syndrome	0.11	1.0		2017	2017
B4GALT7	0.654	0.00011304		C0003507	Disease or Syndrome	0.1				
CLIC2	0.5	0.049547	DTO_01300327	C0003507	Disease or Syndrome	0.1				
AMER1	0.654	0.8538		C0003507	Disease or Syndrome	0.1				
NKX2-5	0.692	0.94531	DTO_05007542	C0003507	Disease or Syndrome	0.1				
ESCO2	0.615	3.1642e-07		C0003507	Disease or Syndrome	0.1				
CYP24A1	0.692	3.1964e-23	DTO_05007624	C0003507	Disease or Syndrome	0.1				
FBN1	0.846	1.0	DTO_05007616	C0003507	Disease or Syndrome	0.1				
FGFR1	0.885	0.99984	DTO_03300101	C0003507	Disease or Syndrome	0.1				
FOXF1	0.692	0.95792		C0003507	Disease or Syndrome	0.1				
TAB2	0.654	0.99998		C0003507	Disease or Syndrome	0.1				
FLI1	0.692	0.9894	DTO_05007542	C0003507	Disease or Syndrome	0.1				
HAAO	0.538	1.0561e-08		C0003507	Disease or Syndrome	0.1				
GATA6	0.808	0.99709		C0003507	Disease or Syndrome	0.1				
NPHP3	0.654	9.836e-16		C0003507	Disease or Syndrome	0.1				
GLB1	0.808	7.9215e-10	DTO_05007624	C0003507	Disease or Syndrome	0.1				
NEK8	0.5	6.4566e-09	DTO_03300101	C0003507	Disease or Syndrome	0.1				
CCDC22	0.692	0.99979		C0003507	Disease or Syndrome	0.1				
IDUA	0.846	3.7599e-13	DTO_05007624	C0003507	Disease or Syndrome	0.1				
KRAS	0.923	0.00078803	DTO_05007584	C0003507	Disease or Syndrome	0.1				
LMNA	0.885	0.9994		C0003507	Disease or Syndrome	0.1				
LPA	0.769	6.5917e-89	DTO_05007624	C0003507	Disease or Syndrome	0.1	0.909		2014	2019
LTBP2	0.692	0.00074122	DTO_05007616	C0003507	Disease or Syndrome	0.1				
SMAD4	0.808	0.99881	DTO_05007542	C0003507	Disease or Syndrome	0.1				
SMAD6	0.731	3.6282e-20	DTO_05007542	C0003507	Disease or Syndrome	0.1				
NOTCH2	0.808	1.0		C0003507	Disease or Syndrome	0.1				
ROBO4	0.615	2.942e-15	DTO_05007575	C0003507	Disease or Syndrome	0.1				
CTSA	0.731	5.8984e-09	DTO_05007624	C0003507	Disease or Syndrome	0.1	1.0		1996	2014
BCOR	0.808	1.0		C0003507	Disease or Syndrome	0.1				
ARHGAP31	0.615	0.99999		C0003507	Disease or Syndrome	0.1				
ACTB	0.923	0.98564	DTO_05007530	C0003507	Disease or Syndrome	0.1				
IFIH1	0.808	6.9819e-44		C0003507	Disease or Syndrome	0.1				
NR2F2	0.692	0.98972	DTO_00102000	C0003507	Disease or Syndrome	0.1				
WT1	0.808	0.99648	DTO_05007557	C0003507	Disease or Syndrome	0.1				
CRELD1	0.269	1.3432e-11	DTO_05007616	C0003507	Disease or Syndrome	0.1				
SNIP1	0.462	0.42167		C0003507	Disease or Syndrome	0.1				
EHMT1	0.808	1.0	DTO_05007378	C0003507	Disease or Syndrome	0.1				
SLC2A10	0.615	1.5672e-08	DTO_05007405	C0003507	Disease or Syndrome	0.1				
ADAMTS10	0.5	0.84288	DTO_05007624	C0003507	Disease or Syndrome	0.1				
GNPTG	0.423	4.6332e-09	DTO_05007624	C0003507	Disease or Syndrome	0.1				
CBL	0.769	0.00060921	DTO_05007624	C0003507	Disease or Syndrome	0.1				
CHST3	0.846	0.0072431		C0003507	Disease or Syndrome	0.1				
ADAMTSL2	0.346	0.0016001	DTO_05007624	C0003507	Disease or Syndrome	0.1				
WASHC5	0.615	8.2703e-18	DTO_05007405	C0003507	Disease or Syndrome	0.1				
NLRP6	0.769	0.00027432		C0003507	Disease or Syndrome	0.08	1.0		2017	2019
REN	0.923	2.4297e-07	DTO_05007624	C0003507	Disease or Syndrome	0.08	1.0		2001	2019
CRP	0.962	0.0036969		C0003507	Disease or Syndrome	0.06	0.833		2012	2019
ACE	0.923	1.0344e-37	DTO_05007624	C0003507	Disease or Syndrome	0.05	1.0		1996	2020
AGT	0.923	4.9706e-08	DTO_05007584	C0003507	Disease or Syndrome	0.05	1.0		1996	2020
APOE	0.962	0.0018685		C0003507	Disease or Syndrome	0.05	0.6		2001	2017
LGALS3	0.846	2.3207e-05	DTO_05007599	C0003507	Disease or Syndrome	0.05	1.0		2016	2018
APOB	0.808	1.9234e-16		C0003507	Disease or Syndrome	0.04	1.0		2001	2019
NPPB	0.808	9.8786e-06		C0003507	Disease or Syndrome	0.04	1.0		2008	2018
TNFRSF11B	0.808	0.16171		C0003507	Disease or Syndrome	0.04	1.0		2004	2018
TGFB1	0.962	0.03685	DTO_05007599	C0003507	Disease or Syndrome	0.04	1.0		1997	2017
FN1	0.962	0.0014045	DTO_05007599	C0003507	Disease or Syndrome	0.03	1.0		2001	2011
MAS1	0.769	8.2518e-05	DTO_02300001	C0003507	Disease or Syndrome	0.03	0.667		2011	2019
MMP2	0.923	0.83878	DTO_05007624	C0003507	Disease or Syndrome	0.03	1.0		2004	2019
PALMD	0.115	0.00033855		C0003507	Disease or Syndrome	0.03	1.0		2018	2019
SPP1	0.885	2.146e-06		C0003507	Disease or Syndrome	0.03	1.0		1995	2017
AHSG	0.846	3.209e-10	DTO_05007584	C0003507	Disease or Syndrome	0.02	0.5		2017	2018
FCGR3A	0.962	3.6955e-06	DTO_05007620	C0003507	Disease or Syndrome	0.02	1.0		2017	2017
FCGR3B	0.962	3.0294e-07	DTO_05007620	C0003507	Disease or Syndrome	0.02	1.0		2017	2017
MMRN1	0.846	2.0714e-25		C0003507	Disease or Syndrome	0.02	1.0		2011	2017
MLC1	0.769	3.2425e-08	DTO_01300327	C0003507	Disease or Syndrome	0.02	1.0		2018	2019
SIRT1	0.885	0.087326	DTO_05007378	C0003507	Disease or Syndrome	0.02	1.0		2012	2019
APOA1	0.885	0.00054909		C0003507	Disease or Syndrome	0.02	1.0		2018	2018
IGF1	0.885	0.2716		C0003507	Disease or Syndrome	0.02	1.0		1997	2017
IL10	0.923	0.0058874		C0003507	Disease or Syndrome	0.02	1.0		2011	2014
STS	0.846	0.80886	DTO_05007624	C0003507	Disease or Syndrome	0.02	1.0		2017	2018
MME	0.808	1.465e-18	DTO_05007624	C0003507	Disease or Syndrome	0.02	1.0		2002	2019
OGN	0.577	0.00074118		C0003507	Disease or Syndrome	0.02	1.0		2008	2018
PON1	0.885	9.8142e-11		C0003507	Disease or Syndrome	0.02	1.0		2018	2019
RETN	0.808	0.036545		C0003507	Disease or Syndrome	0.02	1.0		2012	2019
ACE2	0.769	0.99769	DTO_05007624	C0003507	Disease or Syndrome	0.02	1.0		2011	2020
SDC4	0.615	0.0041475	DTO_05007621	C0003507	Disease or Syndrome	0.02	1.0		2011	2019
CAD	0.846	0.99993	DTO_05007624	C0003507	Disease or Syndrome	0.02	1.0		2018	2019
NR1I2	0.846	7.2668e-09	DTO_00102000	C0003507	Disease or Syndrome	0.02	1.0		2019	2020
MUC16	0.808	8.2703e-112		C0003507	Disease or Syndrome	0.02	1.0		2008	2018
CD86	0.769	0.94879		C0003507	Disease or Syndrome	0.02	1.0		2017	2017
HDAC6	0.846	1.0	DTO_05007378	C0003507	Disease or Syndrome	0.01	1.0		2019	2019
PDA1	0.077			C0003507	Disease or Syndrome	0.01	1.0		2017	2017
ATP6AP2	0.769	0.87089	DTO_05007575	C0003507	Disease or Syndrome	0.01	1.0		2011	2011
CBSL	0.808			C0003507	Disease or Syndrome	0.01	1.0		2020	2020
PDPN	0.769	0.00032048		C0003507	Disease or Syndrome	0.01	1.0		2019	2019
OGA	0.731	0.96569		C0003507	Disease or Syndrome	0.01	1.0		2012	2012
PPARGC1A	0.885	0.9973	DTO_05007542	C0003507	Disease or Syndrome	0.01	1.0		2018	2018
UTS2	0.808	0.031612		C0003507	Disease or Syndrome	0.01	1.0		2019	2019
ADAMTS13	0.769	5.1409e-15	DTO_05007624	C0003507	Disease or Syndrome	0.01	0.0		2018	2018
CHGB	0.654	2.3622e-07		C0003507	Disease or Syndrome	0.01	1.0		2018	2018
WIF1	0.731	1.3249e-09	DTO_05007616	C0003507	Disease or Syndrome	0.01	1.0		2012	2012
CLTA	0.654	0.96319	DTO_05007405	C0003507	Disease or Syndrome	0.01	1.0		2018	2018
CMA1	0.692	7.5861e-09	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2014	2014
CNP	0.692	0.98405	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2007	2007
CPB2	0.846	2.7076e-17	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2018	2018
CPOX	0.846	0.17152	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2017	2017
CRYGC	0.577	0.0006061		C0003507	Disease or Syndrome	0.01	1.0		2017	2017
CCN2	0.846	0.00050202	DTO_05007599	C0003507	Disease or Syndrome	0.01	1.0		2017	2017
CTH	0.615	7.482e-08	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2020	2020
CTSS	0.731	0.34178	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2018	2018
CYP11B2	0.615	7.1321e-19		C0003507	Disease or Syndrome	0.01	1.0		2001	2001
DMD	0.923	1.0		C0003507	Disease or Syndrome	0.01	1.0		2017	2017
JAG1	0.808	1.0		C0003507	Disease or Syndrome	0.01	1.0		2005	2005
AGTR2	0.808	0.0082345	DTO_02300001	C0003507	Disease or Syndrome	0.01	1.0		2007	2007
ECE1	0.769	0.95987	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2009	2009
LPAR1	0.808	0.18603	DTO_02300001	C0003507	Disease or Syndrome	0.01	1.0		2017	2017
EDN1	0.846	0.45504	DTO_05007599	C0003507	Disease or Syndrome	0.01	1.0		2009	2009
EDNRA	0.885	0.99158	DTO_02300001	C0003507	Disease or Syndrome	0.01	1.0		2009	2009
CRYGEP	0.538			C0003507	Disease or Syndrome	0.01	1.0		2017	2017
ELN	0.885	2.1429e-14		C0003507	Disease or Syndrome	0.01	1.0		2018	2018
ENG	0.846	0.99858		C0003507	Disease or Syndrome	0.01	1.0		2017	2017
ERBB4	0.846	0.99912	DTO_03300101	C0003507	Disease or Syndrome	0.01	1.0		2011	2011
AKT1	0.962	0.9759	DTO_03300101	C0003507	Disease or Syndrome	0.01	1.0		2007	2007
ESR1	0.962	0.9992	DTO_00102000	C0003507	Disease or Syndrome	0.01	1.0		2004	2004
FH	0.846	0.08824	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2018	2018
DKK1	0.885	0.17423		C0003507	Disease or Syndrome	0.01	1.0		2012	2012
FLNC	0.615	0.99994		C0003507	Disease or Syndrome	0.01	1.0		2010	2010
CRTC1	0.692	0.531	DTO_05007542	C0003507	Disease or Syndrome	0.01	1.0		2019	2019
FOS	0.885	0.26176	DTO_05007542	C0003507	Disease or Syndrome	0.01	1.0		2009	2009
FOSB	0.846	0.97553	DTO_05007542	C0003507	Disease or Syndrome	0.01	1.0		2009	2009
IL17RA	0.808	0.00035636		C0003507	Disease or Syndrome	0.01	1.0		2018	2018
ALOX5	0.885	1.2059e-06	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2012	2012
PCSK9	0.808	2.7059e-17	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2016	2016
GAPDH	0.808	0.11388	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		1997	1997
MSTN	0.731	0.5052	DTO_05007599	C0003507	Disease or Syndrome	0.01	1.0		2018	2018
GH1	0.923	0.030057	DTO_05007599	C0003507	Disease or Syndrome	0.01	1.0		2017	2017
GLS	0.808	0.96154	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2019	2019
SYPL2	0.192	1.8911e-05	DTO_05007405	C0003507	Disease or Syndrome	0.01	1.0		2017	2017
KLF15	0.654	0.48843	DTO_05007557	C0003507	Disease or Syndrome	0.01	1.0		2007	2007
GUCY2D	0.769	6.4574e-10	DTO_03300101	C0003507	Disease or Syndrome	0.01	1.0		2018	2018
HSPA4	0.923	0.99954		C0003507	Disease or Syndrome	0.01	1.0		2018	2018
HSPD1	0.808	0.99257		C0003507	Disease or Syndrome	0.01	1.0		2004	2004
TNC	0.846	1.2592e-07		C0003507	Disease or Syndrome	0.01	1.0		2011	2011
C1QTNF9	0.385	1.1372e-05		C0003507	Disease or Syndrome	0.01	1.0		2017	2017
STING1	0.769	0.0012067		C0003507	Disease or Syndrome	0.01	1.0		2018	2018
IL6	0.962	0.31536		C0003507	Disease or Syndrome	0.01	1.0		2018	2018
IL6R	0.846	3.1681e-05	DTO_05007599	C0003507	Disease or Syndrome	0.01	1.0		2014	2014
ITGAM	0.808	3.3148e-11		C0003507	Disease or Syndrome	0.01	1.0		2017	2017
ITGB3	0.846	0.0017189	DTO_05007575	C0003507	Disease or Syndrome	0.01	1.0		2019	2019
JARID2	0.577	0.99999	DTO_05007542	C0003507	Disease or Syndrome	0.01	1.0		2008	2008
JUN	0.885	0.05962	DTO_05007542	C0003507	Disease or Syndrome	0.01	1.0		2009	2009
JUNB	0.769	0.86299	DTO_05007542	C0003507	Disease or Syndrome	0.01	1.0		2009	2009
JUND	0.808	0.70054	DTO_05007542	C0003507	Disease or Syndrome	0.01	1.0		2009	2009
KDR	0.885	0.99982	DTO_03300101	C0003507	Disease or Syndrome	0.01	1.0		2019	2019
LDLR	0.885	9.841e-24		C0003507	Disease or Syndrome	0.01	1.0		2019	2019
LEP	0.846	0.46491		C0003507	Disease or Syndrome	0.01	1.0		2019	2019
LGALS4	0.731	2.7538e-07	DTO_05007599	C0003507	Disease or Syndrome	0.01	0.0		2018	2018
TEX41	0.269			C0003507	Disease or Syndrome	0.01	1.0		2019	2019
LOX	0.846	0.98769		C0003507	Disease or Syndrome	0.01	1.0		2017	2017
MIR10B	0.808			C0003507	Disease or Syndrome	0.01	1.0		2016	2016
MIR126	0.846			C0003507	Disease or Syndrome	0.01	1.0		2015	2015
MIR146A	0.885			C0003507	Disease or Syndrome	0.01	1.0		2017	2017
MIR19B1	0.769			C0003507	Disease or Syndrome	0.01	1.0		2017	2017
MIR210	0.846			C0003507	Disease or Syndrome	0.01	1.0		2014	2014
MIR34A	0.846			C0003507	Disease or Syndrome	0.01	1.0		2020	2020
ARSD	0.808	0.0016285	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2019	2019
MMP3	0.885	5.7362e-15	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2019	2019
MMP9	0.923	1.8869e-17	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2003	2003
MMP13	0.923	7.8767e-18	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2017	2017
MMP14	0.769	0.99522	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2017	2017
MPG	0.731	1.9454e-12	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2018	2018
MPO	0.923	7.105e-15	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2019	2019
MYH7	0.692	4.2385e-16		C0003507	Disease or Syndrome	0.01	1.0		2010	2010
NINJ1	0.577	0.11745	DTO_05007620	C0003507	Disease or Syndrome	0.01	1.0		2019	2019
NT5E	0.885	2.2881e-11	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2019	2019
MIR423	0.769			C0003507	Disease or Syndrome	0.01	0.0		2015	2015
MIR424	0.769			C0003507	Disease or Syndrome	0.01	1.0		2020	2020
SERPINE1	0.885	0.043609	DTO_05007584	C0003507	Disease or Syndrome	0.01	1.0		2018	2018
TBX22	0.577	0.97704	DTO_05007542	C0003507	Disease or Syndrome	0.01	1.0		2017	2017
KLF3	0.154	0.8296	DTO_05007557	C0003507	Disease or Syndrome	0.01	1.0		2013	2013
PIK3CA	0.923	1.0	DTO_03300101	C0003507	Disease or Syndrome	0.01	1.0		2017	2017
PIK3CB	0.885	0.99964	DTO_03300101	C0003507	Disease or Syndrome	0.01	1.0		2017	2017
PIK3CD	0.885	0.99999	DTO_03300101	C0003507	Disease or Syndrome	0.01	1.0		2017	2017
PIK3CG	0.885	1.4076e-06	DTO_03300101	C0003507	Disease or Syndrome	0.01	1.0		2017	2017
PITX1	0.654	0.88244		C0003507	Disease or Syndrome	0.01	1.0		2017	2017
PLTP	0.654	8.9961e-09		C0003507	Disease or Syndrome	0.01	1.0		2010	2010
PPARG	0.885	0.029194	DTO_00102000	C0003507	Disease or Syndrome	0.01	1.0		2009	2009
CRTAC1	0.269	7.4918e-07		C0003507	Disease or Syndrome	0.01	1.0		2017	2017
PPP3CB	0.308	0.99998		C0003507	Disease or Syndrome	0.01	1.0		2004	2004
RNLS	0.423	3.796e-06		C0003507	Disease or Syndrome	0.01	1.0		2017	2017
CHDH	0.769	1.685e-06	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2016	2016
MFN1	0.577	2.5118e-10	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2019	2019
METTL3	0.538	1.799e-07		C0003507	Disease or Syndrome	0.01	1.0		2019	2019
PSAP	0.846	0.99051		C0003507	Disease or Syndrome	0.01	1.0		2017	2017
PTPN1	0.731	0.81293		C0003507	Disease or Syndrome	0.01	1.0		2018	2018
PTPRC	0.808	1.0	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2018	2018
MYL7	0.231	1.8314e-06	DTO_05007616	C0003507	Disease or Syndrome	0.01	1.0		2008	2008
TRPV4	0.808	2.237e-16	DTO_01300327	C0003507	Disease or Syndrome	0.01	1.0		2019	2019
BCL2	0.885	0.55903	DTO_05007599	C0003507	Disease or Syndrome	0.01	1.0		2018	2018
S100A9	0.885	0.4777	DTO_05007616	C0003507	Disease or Syndrome	0.01	1.0		2007	2007
S100B	0.923	0.04387	DTO_05007616	C0003507	Disease or Syndrome	0.01	1.0		2017	2017
CFB	0.769	4.6696e-16		C0003507	Disease or Syndrome	0.01	1.0		2019	2019
BGN	0.808	0.45229		C0003507	Disease or Syndrome	0.01	1.0		2010	2010
CCL2	0.962	0.60786	DTO_05007599	C0003507	Disease or Syndrome	0.01	1.0		2019	2019
SDC1	0.769	0.0084118	DTO_05007621	C0003507	Disease or Syndrome	0.01	1.0		2019	2019
LINC00273	0.846			C0003507	Disease or Syndrome	0.01	1.0		2019	2019
SLC2A1	0.808	0.9941	DTO_05007405	C0003507	Disease or Syndrome	0.01	1.0		2020	2020
BMP7	0.769	0.12727	DTO_05007599	C0003507	Disease or Syndrome	0.01	1.0		2016	2016
SLC22A4	0.769	1.8253e-08	DTO_05007405	C0003507	Disease or Syndrome	0.01	1.0		2020	2020
SOD3	0.808	0.00072272	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2017	2017
BSG	0.769	2.5873e-05		C0003507	Disease or Syndrome	0.01	1.0		2011	2011
THBS2	0.769	0.55641		C0003507	Disease or Syndrome	0.01	1.0		2012	2012
THOP1	0.846	0.0001213	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2019	2019
TLR2	0.923	1.0152e-06		C0003507	Disease or Syndrome	0.01	1.0		2010	2010
TNNI3	0.769	0.096284	DTO_05007530	C0003507	Disease or Syndrome	0.01	1.0		2010	2010
TNNT2	0.423	0.0020041	DTO_05007530	C0003507	Disease or Syndrome	0.01	1.0		2010	2010
TTN	0.885	2.5582e-96	DTO_03300101	C0003507	Disease or Syndrome	0.01	1.0		2018	2018
TTR	0.885	0.51566	DTO_05007405	C0003507	Disease or Syndrome	0.01	1.0		2019	2019
VPS51	0.846	1.052e-08		C0003507	Disease or Syndrome	0.01	1.0		2018	2018
VDR	0.885	1.6787e-05	DTO_00102000	C0003507	Disease or Syndrome	0.01	1.0		2001	2001
CNBP	0.692	0.95994		C0003507	Disease or Syndrome	0.01	1.0		2009	2009
DDR1	0.808	4.6331e-06	DTO_03300101	C0003507	Disease or Syndrome	0.01	1.0		2002	2002
SCG2	0.615	2.1176e-05		C0003507	Disease or Syndrome	0.01	1.0		2019	2019
FTO	0.885	8.364e-08		C0003507	Disease or Syndrome	0.01	1.0		2015	2015
OGT	0.731	1.0		C0003507	Disease or Syndrome	0.01	1.0		2012	2012
CILP	0.423	5.3654e-26		C0003507	Disease or Syndrome	0.01	1.0		2017	2017
RUNX2	0.846	0.94884	DTO_05007542	C0003507	Disease or Syndrome	0.01	1.0		2013	2013
TNFSF11	0.846	0.0049159	DTO_05007599	C0003507	Disease or Syndrome	0.01	1.0		2004	2004
PDE5A	0.731	0.00010643		C0003507	Disease or Syndrome	0.01	1.0		2013	2013
CBS	0.885	3.0799e-05	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2020	2020
APLN	0.769	0.45897		C0003507	Disease or Syndrome	0.01	1.0		2017	2017
CD14	0.885	4.8813e-05		C0003507	Disease or Syndrome	0.01	1.0		2017	2017
ADIPOQ	0.885	4.6434e-09		C0003507	Disease or Syndrome	0.01	1.0		2019	2019
GDF15	0.808	3.0133e-07	DTO_05007599	C0003507	Disease or Syndrome	0.01	0.0		2018	2018
ENTPD1	0.769	0.0080716	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2019	2019
AKAP12	0.615	0.035666		C0003507	Disease or Syndrome	0.01	1.0		2018	2018
PTDSS1	0.615	0.15093	DTO_05007624	C0003507	Disease or Syndrome	0.01	1.0		2018	2018
ZFPM2	0.731	1.0	DTO_05007542	C0243002	Congenital Abnormality	0.21	1.0		2000	2005
COMT	0.923	1.1377e-06	DTO_05007624	C0243002	Congenital Abnormality	0.1				
JMJD1C	0.769	1.0		C0243002	Congenital Abnormality	0.1				
GP1BB	0.769	0.51249		C0243002	Congenital Abnormality	0.1				
ARVCF	0.769	5.0422e-11	DTO_05007530	C0243002	Congenital Abnormality	0.1				
PLD1	0.731	4.7758e-21		C0243002	Congenital Abnormality	0.1				
RREB1	0.808	1.0		C0243002	Congenital Abnormality	0.1				
TBX1	0.808	0.83661	DTO_05007542	C0243002	Congenital Abnormality	0.1				
HIRA	0.808	1.0	DTO_05007557	C0243002	Congenital Abnormality	0.1				
UFD1	0.769	0.99638		C0243002	Congenital Abnormality	0.1				
SEC24C	0.808	1.0	DTO_05007405	C0243002	Congenital Abnormality	0.1				
JAG1	0.808	1.0		C0243002	Congenital Abnormality	0.01	1.0		2002	2002
HEY2	0.731	0.89343	DTO_05007542	C0243002	Congenital Abnormality	0.01	1.0		2005	2005
IL6	0.962	0.31536		C0243002	Congenital Abnormality	0.01	1.0		2018	2018
LIF	0.769	0.5242	DTO_05007599	C0243002	Congenital Abnormality	0.01	1.0		2018	2018
NFATC1	0.731	0.15652	DTO_05007542	C0243002	Congenital Abnormality	0.01	1.0		2012	2012
RASA1	0.885	1.0	DTO_05007584	C0243002	Congenital Abnormality	0.01	1.0		2019	2019
TBX5	0.769	0.99954	DTO_05007542	C0243002	Congenital Abnormality	0.01	1.0		2016	2016
CHST3	0.846	0.0072431		C0040963	Disease or Syndrome	0.1				
ADAMTSL2	0.346	0.0016001	DTO_05007624	C0040963	Disease or Syndrome	0.1				
TYMS	0.846	0.72247	DTO_05007624	C0040963	Disease or Syndrome	0.04	0.75		2004	2011
GH1	0.923	0.030057	DTO_05007599	C0040963	Disease or Syndrome	0.03	1.0		2005	2018
VDR	0.885	1.6787e-05	DTO_00102000	C0040963	Disease or Syndrome	0.03	1.0		2011	2020
CDX2	0.769	0.52887	DTO_05007542	C0040963	Disease or Syndrome	0.01	1.0		2012	2012
OGA	0.731	0.96569		C0040963	Disease or Syndrome	0.01	1.0		2002	2002
RPGRIP1L	0.769	4.083e-31	DTO_05007584	C0040963	Disease or Syndrome	0.01	1.0		2019	2019
AMELX	0.769	0.074507		C0040963	Disease or Syndrome	0.01	1.0		2004	2004
HEXD	0.308	4.3406e-11		C0040963	Disease or Syndrome	0.01	1.0		2002	2002
GPT	0.923	3.5945e-19	DTO_05007624	C0040963	Disease or Syndrome	0.01	1.0		2017	2017
GSK3B	0.846	0.95571	DTO_03300101	C0040963	Disease or Syndrome	0.01	1.0		2017	2017
